agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect8b_com|nalu_mate8b_com|nalu_nat8b_com|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|5|"QUILLOTA"|3|"HIJUELAS"|1|"QUILLOTA - PETORCA"|204|207|207|229|236|251|-2|-3|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|4|"PALENA"|15|"HUALAIHUÉ"|2|"LLANQUIHUE"|139|143|145|237|246|260|-4|1|-11|0|0|-1
2015|20160908|"final20160908v1"|"8b"|7|"MAULE"|3|"CURICÓ"|5|"HUALAÑÉ"|2|"CURICÓ"|125|127|127|254|279|285|3|18|-4|0|1|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|26|"HUALPÉN"|3|"CONCEPCIÓN"|968|997|990|239|260|261|5|3|-16|0|0|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|27|"HUALQUI"|3|"CONCEPCIÓN"|233|240|240|226|242|248|3|-1|-1|0|0|0
2015|20160908|"final20160908v1"|"8b"|1|"TARAPACÁ"|4|"TAMARUGAL"|5|"HUARA"|2|"TAMARUGAL"|20|20|20|237|238|231|33|13|-1|1|0|0
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|3|"HUASCO"|8|"HUASCO"|2|"HUASCO"|110|118|118|230|223|243|14|-4|1|1|0|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|12|"HUECHURABA"|3|"SANTIAGO NORTE"|911|919|923|246|271|268|9|5|-4|1|0|0
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|2|"CHOAPA"|2|"ILLAPEL"|1|"CHOAPA"|136|137|137|251|267|278|-9|-11|-7|0|-1|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|13|"INDEPENDENCIA"|3|"SANTIAGO NORTE"|1069|1089|1091|248|265|267|11|3|0|1|0|0
2015|20160908|"final20160908v1"|"8b"|1|"TARAPACÁ"|1|"IQUIQUE"|2|"IQUIQUE"|1|"IQUIQUE"|2462|2490|2491|244|261|264|3|4|-4|0|0|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|6|"TALAGANTE"|46|"ISLA DE MAIPO"|7|"TALAGANTE"|408|406|407|238|254|256|10|9|-3|1|1|0
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|2|"ISLA DE PASCUA"|31|"ISLA DE PASCUA"|4|"VALPARAÍSO"|82|84|85|231|242|249|-2|-13|-22|0|-1|-1
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|1|"VALPARAÍSO"|32|"JUAN FERNÁNDEZ"|4|"VALPARAÍSO"|13|15|15|233|241|249|-11|-13|-35|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|37|"LA CISTERNA"|6|"SANTIAGO SUR"|1451|1460|1464|238|263|264|6|5|-9|0|0|-1
