agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect2b_com|prom_lect2b_com|dif_lect2b_com|sigdif_lect2b_com
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|26|"HUALPÉN"|3|"CONCEPCIÓN"|1040|249|-11|-1
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|27|"HUALQUI"|3|"CONCEPCIÓN"|273|249|-3|0
2015|20160908|"final20160908v1"|"2b"|1|"TARAPACÁ"|4|"TAMARUGAL"|5|"HUARA"|2|"TAMARUGAL"|30|234|-2|0
2015|20160908|"final20160908v1"|"2b"|3|"ATACAMA"|3|"HUASCO"|8|"HUASCO"|2|"HUASCO"|147|252|1|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|12|"HUECHURABA"|3|"SANTIAGO NORTE"|1121|258|1|0
2015|20160908|"final20160908v1"|"2b"|4|"COQUIMBO"|2|"CHOAPA"|2|"ILLAPEL"|1|"CHOAPA"|190|256|-5|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|13|"INDEPENDENCIA"|3|"SANTIAGO NORTE"|1176|252|-3|0
2015|20160908|"final20160908v1"|"2b"|1|"TARAPACÁ"|1|"IQUIQUE"|2|"IQUIQUE"|1|"IQUIQUE"|2553|257|-1|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|6|"TALAGANTE"|46|"ISLA DE MAIPO"|7|"TALAGANTE"|418|242|10|1
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|2|"ISLA DE PASCUA"|31|"ISLA DE PASCUA"|4|"VALPARAÍSO"|101|231|-3|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|1|"VALPARAÍSO"|32|"JUAN FERNÁNDEZ"|4|"VALPARAÍSO"|14|249|-2|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|37|"LA CISTERNA"|6|"SANTIAGO SUR"|1449|254|0|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|5|"QUILLOTA"|4|"LA CRUZ"|1|"QUILLOTA - PETORCA"|101|243|-1|0
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|2|"CARDENAL CARO"|18|"LA ESTRELLA"|2|"CARDENAL CARO"|28|281|12|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|1|"LA FLORIDA"|1|"CORDILLERA"|5218|254|-4|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|38|"LA GRANJA"|6|"SANTIAGO SUR"|1438|244|-1|0
2015|20160908|"final20160908v1"|"2b"|4|"COQUIMBO"|1|"ELQUI"|7|"LA HIGUERA"|2|"ELQUI"|64|201|-37|-1
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|4|"PETORCA"|5|"LA LIGUA"|1|"QUILLOTA - PETORCA"|469|253|-2|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|2|"LA PINTANA"|1|"CORDILLERA"|2478|236|-1|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|18|"LA REINA"|4|"SANTIAGO ORIENTE"|1436|276|2|0
2015|20160908|"final20160908v1"|"2b"|4|"COQUIMBO"|1|"ELQUI"|8|"LA SERENA"|2|"ELQUI"|3181|260|-1|0
2015|20160908|"final20160908v1"|"2b"|14|"LOS RÍOS"|2|"RANCO"|2|"LA UNIÓN"|1|"RANCO"|449|257|1|0
2015|20160908|"final20160908v1"|"2b"|14|"LOS RÍOS"|2|"RANCO"|3|"LAGO RANCO"|1|"RANCO"|133|257|-3|0
2015|20160908|"final20160908v1"|"2b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|1|"COYHAIQUE"|7|"LAGO VERDE"|1|"COYHAIQUE"|14|239|-34|-1
2015|20160908|"final20160908v1"|"2b"|12|"MAGALLANES Y DE LA ANTÁRTICA CHILENA"|1|"MAGALLANES"|3|"LAGUNA BLANCA"|1|"MAGALLANES"|3|254||
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|3|"BIOBÍO"|11|"LAJA"|2|"BIOBÍO"|289|251|-12|-1
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|3|"CHACABUCO"|14|"LAMPA"|3|"SANTIAGO NORTE"|1226|249|-2|0
2015|20160908|"final20160908v1"|"2b"|14|"LOS RÍOS"|1|"VALDIVIA"|6|"LANCO"|2|"VALDIVIA"|212|253|-2|0
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|6|"LAS CABRAS"|1|"CACHAPOAL"|325|251|1|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|19|"LAS CONDES"|4|"SANTIAGO ORIENTE"|2486|286|0|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|5|"LAUTARO"|1|"CAUTÍN NORTE"|464|246|-1|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|2|"ARAUCO"|5|"LEBU"|1|"ARAUCO"|312|245|-9|-1
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|3|"CURICÓ"|6|"LICANTÉN"|2|"CURICÓ"|82|259|-5|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|8|"MARGA MARGA"|6|"LIMACHE"|1|"QUILLOTA - PETORCA"|571|241|-3|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|4|"LINARES"|14|"LINARES"|3|"LINARES"|1352|261|2|0
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|2|"CARDENAL CARO"|19|"LITUECHE"|2|"CARDENAL CARO"|85|245|-10|0
