Código Unico Territorial,Comuna,Grado Accesibilidad,Nombre Accesibilidad,Numero Región,Provincia,Región,Necesidad de Avión
12101,Punta Arenas,1,Accesible,12,Magallanes,Magallanes,1
12102,Laguna Blanca,3,No Accesible,12,Magallanes,Magallanes,1
12103,Río Verde,3,No Accesible,12,Magallanes,Magallanes,1
12104,San Gregorio,3,No Accesible,12,Magallanes,Magallanes,1
12201,Cabo de Hornos,3,No Accesible,12,Antartica Chilena,Magallanes,1
12202,Antártica,3,No Accesible,12,Antartica Chilena,Magallanes,1
12301,Porvenir,3,No Accesible,12,Tierra del Fuego,Magallanes,1
12302,Primavera,3,No Accesible,12,Tierra del Fuego,Magallanes,1
12303,Timaukel,3,No Accesible,12,Tierra del Fuego,Magallanes,1
12401,Natales,2,Medianamente,12,Ultima Esperanza,Magallanes,1
12402,Torres del Paine,2,Medianamente,12,Ultima Esperanza,Magallanes,1
13101,Santiago,1,Accesible,13,Santiago,Metropolitana,0
13102,Cerrillos,1,Accesible,13,Santiago,Metropolitana,0
13103,Cerro Navia,1,Accesible,13,Santiago,Metropolitana,0
13104,Conchalí,1,Accesible,13,Santiago,Metropolitana,0
13105,El Bosque,1,Accesible,13,Santiago,Metropolitana,0
13106,Estación Central,1,Accesible,13,Santiago,Metropolitana,0
13107,Huechuraba,1,Accesible,13,Santiago,Metropolitana,0
13108,Independencia,1,Accesible,13,Santiago,Metropolitana,0
13109,La Cisterna,1,Accesible,13,Santiago,Metropolitana,0
13110,La Florida,1,Accesible,13,Santiago,Metropolitana,0
13111,La Granja,1,Accesible,13,Santiago,Metropolitana,0
13112,La Pintana,1,Accesible,13,Santiago,Metropolitana,0
13113,La Reina,1,Accesible,13,Santiago,Metropolitana,0
13114,Las Condes,1,Accesible,13,Santiago,Metropolitana,0
13115,Lo Barnechea,1,Accesible,13,Santiago,Metropolitana,0
13116,Lo Espejo,1,Accesible,13,Santiago,Metropolitana,0
13117,Lo Prado,1,Accesible,13,Santiago,Metropolitana,0
13118,Macul,1,Accesible,13,Santiago,Metropolitana,0
13119,Maipú,1,Accesible,13,Santiago,Metropolitana,0
13120,Ñuñoa,1,Accesible,13,Santiago,Metropolitana,0
13121,Pedro Aguirre Cerda,1,Accesible,13,Santiago,Metropolitana,0
13122,Peñalolén,1,Accesible,13,Santiago,Metropolitana,0
13123,Providencia,1,Accesible,13,Santiago,Metropolitana,0
13124,Pudahuel,1,Accesible,13,Santiago,Metropolitana,0
13125,Quilicura,1,Accesible,13,Santiago,Metropolitana,0
13126,Quinta Normal,1,Accesible,13,Santiago,Metropolitana,0
13127,Recoleta,1,Accesible,13,Santiago,Metropolitana,0
13128,Renca,1,Accesible,13,Santiago,Metropolitana,0
13129,San Joaquín,1,Accesible,13,Santiago,Metropolitana,0
13130,San Miguel,1,Accesible,13,Santiago,Metropolitana,0
13131,San Ramón,1,Accesible,13,Santiago,Metropolitana,0
13132,Vitacura,1,Accesible,13,Santiago,Metropolitana,0
13201,Puente Alto,1,Accesible,13,Cordillera,Metropolitana,0
13202,Pirque,1,Accesible,13,Cordillera,Metropolitana,0
13203,San José de Maipo,2,Medianamente,13,Cordillera,Metropolitana,0
13301,Colina,1,Accesible,13,Chacabuco,Metropolitana,0
13302,Lampa,1,Accesible,13,Chacabuco,Metropolitana,0
13303,Til til,2,Medianamente,13,Chacabuco,Metropolitana,0
13401,San Bernardo,1,Accesible,13,Maipo,Metropolitana,0
13402,Buin,1,Accesible,13,Maipo,Metropolitana,0
13403,Calera de Tango,1,Accesible,13,Maipo,Metropolitana,0
13404,Paine,1,Accesible,13,Maipo,Metropolitana,0
13501,Melipilla,1,Accesible,13,Melipilla,Metropolitana,0
13502,Alhué,3,No Accesible,13,Melipilla,Metropolitana,0
13503,Curacaví,1,Accesible,13,Melipilla,Metropolitana,0
13504,María Pinto,1,Accesible,13,Melipilla,Metropolitana,0
13505,San Pedro,3,No Accesible,13,Melipilla,Metropolitana,0
13601,Talagante,1,Accesible,13,Talagante,Metropolitana,0
13602,El Monte,1,Accesible,13,Talagante,Metropolitana,0
13603,Isla de Maipo,1,Accesible,13,Talagante,Metropolitana,0
13604,Padre Hurtado,1,Accesible,13,Talagante,Metropolitana,0
13605,Peñaflor,1,Accesible,13,Talagante,Metropolitana,0
14101,Valdivia,1,Accesible,14,Valdivia,Los Ríos,0
14102,Corral,2,Medianamente,14,Valdivia,Los Ríos,0
14103,Lanco,1,Accesible,14,Valdivia,Los Ríos,0
14104,Los Lagos,1,Accesible,14,Valdivia,Los Ríos,0
14105,Máfil,1,Accesible,14,Valdivia,Los Ríos,0
14106,Mariquina,1,Accesible,14,Valdivia,Los Ríos,0
14107,Paillaco,1,Accesible,14,Valdivia,Los Ríos,0
14108,Panguipulli,2,Medianamente,14,Valdivia,Los Ríos,0
14201,La Unión,1,Accesible,14,Ranco,Los Ríos,0
14202,Futrono,3,No Accesible,14,Ranco,Los Ríos,0
14203,Lago Ranco,3,No Accesible,14,Ranco,Los Ríos,0
14204,Río Bueno,1,Accesible,14,Ranco,Los Ríos,0
15101,Arica,1,Accesible,15,Arica,Arica y Parinacota,1
15102,Camarones,2,Medianamente,15,Arica,Arica y Parinacota,1
15201,Putre,3,No Accesible,15,Parinacota,Arica y Parinacota,1
15202,General Lagos,3,No Accesible,15,Parinacota,Arica y Parinacota,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
